Japanese,English
クレーン,crane
眉,eyebrow
飢饉,famine
鯉,carp
室蘭,Muroran
列強,Great powers
油田,oil field
ガリア,Gaul
義理,obligation
茨木,Ibaraki
太政官,Daijokan
レター,letter
壇,altar
格付け,rating
タイトルマッチ,title match
ブルボン,bourbon
最寄,The nearest
栄光,glory
休業,Closed
波動,wave
無形,intangible
照る,shine
獲物,prey
番外,Extra
鎌,sickle
鎧,armor
グアム,Guam
平ら,flat
同調,tuning
山々,Many mountains of
頂く,receive
菊花,chrysanthemum
証人,witness
ジュネーヴ,geneva
アッシリア,Assyria
うどん,Udon
失踪,disappearance
市外,Outside the city
受領,receipt
リタイア,retirement
言論,speech
計量,Measurement
金利,interest rate
簿,book
紀行,travelogue
ロープ,rope
寒,cold
宗派,sect
小平,Kodaira
不可欠,necessary
戦績,War record
サイレント,silent
チャーチル,churchill
転校,transfer school
谷口,Taniguchi
溶液,solution
クロム,chromium
岩屋,Iwaya
権現,Gongen
偲ぶ,remember
冷凍,frozen
堀川,Horikawa
コンビニエンス,convenience
結社,association
ハンセン,hansen
ニコラス,nicholas
モナコ,monaco
毛沢東 person,Mao Zedong person
国歌,national anthem
発効,effective
溶解,Dissolution
何でも,anything
壊れる,break
ルーシ,Rus
部署,Department
顕彰,Commendation
貰える,I can get it
完封,Complete game
強引,Forcible
ケープ,cape
巌,Iwao
下車,Get off
厚木,Atsugi
テーマソング,Theme song
見掛ける,see
飛車,Rook
ラフ,rough
オーク,oak
ディオ,dio
志賀,Shiga
仕切る,partition
遷移,transition
石碑,stone monument
生後,after birth
ジェイソン,jason
スキャンダル,scandal
ケント,kent
完,complete
平塚,Hiratsuka
マクラーレン,mclaren
視界,visibility
鉄砲,gun
精製,purification
市政,City administration
ライス,rice
水族,water tribe
国史,national history
国分寺,Kokubunji
下田,Shimoda
付着,adhesion
企てる,plan
島原,Shimabara
ロッド,rod
エコ,eco
バスク,basque
売春,prostitution
破片,Debris
遭難,shipwreck
酷似,close resemblance
高砂,Takasago
第一人者,guru
六本木,Roppongi
アルカリ,alkali
アレクサンドロス,alexander
超過,excess
エスカレーター,escalator
偶,even
勘定,Account
卸し売り,wholesale
内野,infield
藪,bush
アラゴン,aragon
アルブレヒト,albrecht
岩国,Iwakuni
桑田,Kuwata
ネーデルラント,Low Countries
メモ,memo
ドナウ,danube
リバー,river
勝てる,I can win
島々,Islands
抜け出す,get out
ラオス,Laos
信州,Shinshu
明神,Myojin
本番,Actual performance
大通り,main street
唐津,Karatsu
ノルマンディー,Normandy
フェリペ,Felipe
日数,number of days
さほど,Not much
開口,opening
鉢,pot
デラウェア,delaware
インターハイ,inter high school
システムズ,systems
バファローズ,buffaloes
ディック,dick
選任,Appointment
奄美,Amami
室内楽,chamber music
コペンハーゲン,copenhagen
蒲生,Gamo
脆弱,vulnerable
脊椎,spine
官吏,government official
出願,application
均一,uniform
リモコン,Remote controller
指針,guidelines
末尾,end
リヴァプール,liverpool
沖合,offshore
両面,both sides
迷う,get lost
ビジュアル,visual
直撃,Direct hit
石巻,Ishinomaki
セルティックス,celtics
昇る,rise
勝敗,Victory or defeat
前輪,front wheel
モダン,modern
憲兵,Military police
菩提,Bodhi
重用,heavy use
ニッケル,nickel
取り巻く,surround
敗走,rout
スープ,soup
ヘルシンキ,helsinki
朗読,recitation
噴出,squirt
囚,prisoner
支払,payment
人力,human power
雛,chick
製法,Manufacturing method
側室,concubine
偽装,disguise
戊辰戦争,Boshin War
ポータブル,portable
カイロ,Cairo
通例,customary
青梅,Ome
養殖,Aquaculture
インフルエンザ,influenza
コンコース,concourse
カメラマン,cameraman
全編,Full story
古今,ancient and modern
水雷艇,torpedo boat
粘土,clay
職場,workplace
苦しい,painful
添付,attached
きりん,Giraffe
プリンストン,princeton
岡部,Okabe
君臨,reign
味噌,miso
関白,Kanpaku
訪,visit
旧名,Old name
沙汰,story
会戦,pitched battle
充電,charging
ウェイン,wayne
鎮座,enshrinement
葛西,Kasai
祝,Congratulations
新報,Shinpo
宮川,Miyagawa
刷新,renewal
散歩,stroll
鮫,shark
折り畳む,fold
フランチャイズ,franchise
終身,lifetime
給付,benefits
まるで,as if
受付,reception
根源,root
拡幅,Widening
梗塞,infarction
消極,negative
ヒスパニック,hispanic
ハンドボール,handball
ネバダ,nevada
上川,Kamikawa
てんとう虫,Ladybug
豊岡,Toyooka
有田,Arita
日大,Nihon University
ジーン,Gene
藻,algae
渋,Shibu
演目,program
長大,long
文京,Bunkyo
亜鉛,zinc
地頭,Jito
書道,calligraphy
母子,mother and child
沈める,sink
此世,This world
青島,Qingdao
見た目,Appearance
みずほ,Mizuho
キーパー,keeper
サラリーマン,office worker
乗り越える,get over
幾らか,some
指輪,ring
雌雄,male and female
祭壇,altar
内地,inland
亀井,Kamei
挙がる,raised
ニューメキシコ,new mexico
直人,Naoto
行ける,Can go
致死,lethal
悪戯,mischief
採算,profitability
宇野,Uno
フェイス,face
マクシミリアン,maximilian
ミルク,milk
ハイチ,haiti
顔面,face
点す,light up
理学部,Faculty of Science
引っ張る,pull
恒例,customary
入閣,entering the cabinet
幼馴染み,childhood friend
念願,Desire
歯車,gear
祭祀,ritual
ベア,bear
アーカンソー,arkansas
ヤクザ,Yakuza
未亡人,widow
ピョートル,petr
ショパン,Chopin
ガブリエル,Gabriel
林道,forest road
沢田,Sawada
客船,passenger ship
解禁,Lifting of the ban
麻布,Azabu
夕刊,Evening paper
殺到,rush
其の場で,at that place
ロイド,Lloyd
クリー,Cree
コンサルティング,consulting
ステア,steer
愛する,love
授賞,Award
訂正,correction
マザー,mother
ムーン,moon